smiles,label,TestFreq,TestFreqUnit,TestTemp,TestTempUnit
*/C=C(/*)CCCOc1ccc(OC(=O)c2ccc(OCCCCCCCC)cc2)cc1,2.2,10,KHz,25,C
*/C=C(\C)C*,2.84,0.3,kHz,25,C
*/C=C(\C)C*,2.81,1,KHz,25,C
*/C=C(\C)C*,2.74,10,KHz,25,C
*/C=C(\C)C*,2.7,100,kHz,25,C
*/C=C/*,3.1,1,KHz,25,C
*/C=C/*,3.1,100,KHz,25,C
*/C=C/C1C(=C(C)C)C(*)C2C(=O)N(NC(=S)SC)C(=O)C12,3,3.000000002,kHz,25,C
*/C=C/C1CC(*)C2CC=CC12,2.98,1,kHz,25,C
*/C=C/c1cc(OC)c(*)cc1OC,10.9,1000000,KHz,25,C
*/C=C/c1cc(OCCCCCCCCCCOc2ccc(-c3ccc(OCCCCCCCCCC)cc3)cc2)c(*)cc1OC,3.4,0.2,kHz,25,C
*/C=C/C1CCC(*)C1,2.54,10,kHz,25,C
*/C=C/c1ccc(*)cc1,3.2,499.9999996,kHz,25,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.51,0.001,kHz,25,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.49,0.001,kHz,50,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.44,0.001,kHz,100,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.46,0.001,kHz,150,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.49,0.01,kHz,25,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.48,0.01,kHz,50,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.44,0.01,KHz,100,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.43,0.01,KHz,150,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.49,0.1,kHz,25,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.48,0.1,KHz,50,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.43,0.1,kHz,100,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.43,0.1,kHz,150,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.47,1,KHz,25,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.47,1,KHz,50,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.42,1,kHz,100,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.41,1,kHz,150,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.46,10,kHz,25,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.44,10,kHz,50,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.41,10,kHz,100,C
*/C=C/C1OC(*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,2.4,10,kHz,150,C
*/C=C/CC*,2.51,1,kHz,25,C
*/N=N/c1ccc(C(=O)NCCCCNC(=O)c2ccc(*)cc2)cc1,2.7,1,kHz,25,C
*/N=N/c1ccc(NC(=O)CCC(=O)Nc2ccc(*)cc2)cc1,2.32,1,kHz,25,C
*=C=C=C(COS(=O)(=O)c1ccc(C)cc1)C(=*)COS(=O)(=O)c1ccc(F)cc1,4.2,1,KHz,25,C
*=C=Nc1ccc(-c2ccc(N=*)c(OC)c2)cc1OC,3.4,49.99999996,kHz,25,C
*=c1cc2ccc3cc(=c4c5ccccc5c(=*)c5ccccc45)cc4ccc(c1)c2c34,6.9,10000000,KHz,25,C
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,6.75,1,KHz,25,C
*C#Cc1ccc(Oc2ccc(Oc3ccc(C#C[Si](*)(C)C)cc3)cc2)cc1,2.87,0.01,kHz,25,C
*C#Cc1ccc(Oc2ccc(Oc3ccc(C#C[Si](*)(C)C)cc3)cc2)cc1,2.87,0.1,kHz,25,C
*C#Cc1ccc(Oc2ccc(Oc3ccc(C#C[Si](*)(C)C)cc3)cc2)cc1,2.86,1,kHz,25,C
*C#Cc1ccc(Oc2ccc(Oc3ccc(C#C[Si](*)(C)C)cc3)cc2)cc1,2.86,10,kHz,25,C
*C#Cc1ccc(Oc2ccc(Oc3ccc(C#C[Si](*)(C)C)cc3)cc2)cc1,2.85,100,KHz,25,C
*C#Cc1ccc(Oc2ccc(Oc3ccc(C#C[Si](*)(C)C)cc3)cc2)cc1,2.85,1000,KHz,25,C
*C#Cc1ccc(Oc2cccc(Oc3ccc(C#C[Si](*)(C)C)cc3)n2)cc1,3.5,0.0001,KHz,25,C
*C#Cc1ccc(Oc2cccc(Oc3ccc(C#C[Si](*)(C)C)cc3)n2)cc1,3.4,0.001,KHz,25,C
*C#Cc1ccc(Oc2cccc(Oc3ccc(C#C[Si](*)(C)C)cc3)n2)cc1,3.3,0.01,KHz,25,C
*C#Cc1ccc(Oc2cccc(Oc3ccc(C#C[Si](*)(C)C)cc3)n2)cc1,3.2,0.1,kHz,25,C
*C#Cc1ccc(Oc2cccc(Oc3ccc(C#C[Si](*)(C)C)cc3)n2)cc1,3.1,1,kHz,25,C
*C#Cc1ccc(Oc2cccc(Oc3ccc(C#C[Si](*)(C)C)cc3)n2)cc1,3.1,10,kHz,25,C
*C#Cc1ccc(Oc2cccc(Oc3ccc(C#C[Si](*)(C)C)cc3)n2)cc1,3,100,kHz,25,C
*C#Cc1ccc(Oc2cccc(Oc3ccc(C#C[Si](*)(C)C)cc3)n2)cc1,3,1000,kHz,25,C
*C#Cc1cccc(C#C[Si](*)(C)C)c1,2.96,0.01,KHz,25,C
*C#Cc1cccc(C#C[Si](*)(C)C)c1,2.95,0.1,kHz,25,C
*C#Cc1cccc(C#C[Si](*)(C)C)c1,2.94,1,KHz,25,C
*C#Cc1cccc(C#C[Si](*)(C)C)c1,2.93,10,kHz,25,C
*C#Cc1cccc(C#C[Si](*)(C)C)c1,2.92,100,KHz,25,C
*C#Cc1cccc(C#C[Si](*)(C)C)c1,2.91,1000,kHz,25,C
*C#Cc1cccc(C#C[Si](C#Cc2cccc(C#C*)c2)(C#Cc2cccc(C#C*)c2)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,2.5,0.001,kHz,25,C
*C#Cc1cccc(C#C[Si](C#Cc2cccc(C#C*)c2)(C#Cc2cccc(C#C*)c2)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,2.49,0.01,kHz,25,C
