RepeatUnitSMILES,PropertyValue,TestFreq,TestFreqUnit,TestTemp,TestTempUnit
*CC(*)CC(C)C,0.000005,1,KHz,200,C
*O[Si](*)(C)c1ccccc1,0.000007,10,kHz,25,C
*CC(*)CC(C)C,0.000015,10,KHz,200,C
*CC(*)CC(C)C,0.00002,1,KHz,175,C
*CC*,0.00006,1,kHz,25,C
*CC(*)CC(C)C,0.00006,1,KHz,150,C
*CC(*)CC(C)C,0.00006,10,KHz,175,C
*Cc1ccc(C*)cc1,0.00007,1000,kHz,25,C
*CC*,0.00008,1000,kHz,25,C
*CC(*)CC(C)C,0.00008,10,KHz,150,C
*CC(*)C,0.0001,1,kHz,25,C
*CC(*)C,0.0001,1000,kHz,25,C
*CC(*)(C)C,0.0001,1,kHz,25,C
*C(F)(F)C(*)(F)F,0.0001,100,kHz,219,C
*C(F)(F)C(*)(F)F,0.0001,1,kHz,314,C
*C(F)(F)C(*)(F)F,0.0001,10,kHz,113,C
*Oc1ccc(*)cc1,0.000105042,1,kHz,23,C
*Oc1ccc(*)cc1,0.000105042,1,kHz,23,C
*Oc1ccc(*)cc1,0.000105932,1,kHz,75,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.000115,0.1,KHz,0,C
*O[Si](*)(C)C,0.00012,0.8,KHz,20,C
*Oc1ccc(*)cc1,0.000127389,100,kHz,75,C
*O[Si](*)(C)C,0.00013,0.8,KHz,100,C
*CC(*)C,0.00013,10000,kHz,25,C
*Oc1ccc(*)cc1,0.00014862,1,kHz,75,C
*O[Si](*)(C)C,0.00015,0.8,KHz,200,C
*CC(*)CC(C)C,0.00015,1,KHz,125,C
*CC(*)c1ccccc1,0.00015,0.1,kHz,25,C
*CC(*)C,0.00015,0.1,kHz,25,C
*CC(*)C,0.00015,100,kHz,25,C
*C(F)(F)C(*)(F)F,0.00015,1,kHz,25,C
*O[Si](*)(C)c1ccccc1,0.00016,1,kHz,25,C
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,0.0002,0.4,kHz,25,C
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,0.0002,1,kHz,25,C
*Cc1ccc(C*)cc1,0.0002,0.1,kHz,25,C
*Cc1ccc(C*)cc1,0.0002,100,kHz,25,C
*CC(*)CC(C)C,0.0002,10,KHz,125,C
*CC(*)C1CCCCC1,0.0002,1,kHz,25,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.0002,0.4,KHz,22,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.0002,1,KHz,22,C
*C(F)(F)C(*)(F)F,0.0002,1,kHz,113,C
*C(F)(F)C(*)(F)F,0.0002,10,kHz,23,C
*C(F)(F)C(*)(F)F,0.0002,10,kHz,219,C
*C(F)(F)C(*)(F)F,0.0002,10,kHz,317,C
*CC(*)C,0.00023,80,KHz,30,C
*CC(*)CC(C)C,0.00025,1,KHz,25,C
*CC(*)CC(C)C,0.00025,10,KHz,25,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.00025,1,KHz,100,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.00025,10,KHz,100,C
*C(F)(F)C(*)(F)F,0.00025,0.1,kHz,25,C
*Oc1ccc(*)cc1,0.000273109,100,kHz,23,C
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,0.0003,10,kHz,25,C
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,0.0003,1,kHz,100,C
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,0.0003,10,kHz,100,C
*Oc2ccc(C(C)(C)c1ccc(OC(*)=O)cc1)cc2,0.0003,10,KHz,227,C
*O[Si](*)(C)c1ccccc1,0.0003,100,kHz,25,C
*CC(*)CC(C)C,0.0003,1,KHz,100,C
*c6ccc(S(=O)(=O)c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)cc5)cc6,0.0003,1000,kHz,50,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.0003,10,KHz,22,C
*Cc1ccc(C*)cc1,0.00034,1,kHz,25,C
*CC(*)c1ccc(Cl)cc1,0.00034,1,kHz,25,C
*Oc1ccc(*)cc1,0.00034188,100,kHz,125,C
*Oc1c(C)cc(*)cc1C,0.00035,0.06,kHz,25,C
*CC(*)CC(C)C,0.00035,10,KHz,50,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.00035,0.4,KHz,100,C
*Cc1ccc(C*)cc1,0.00037,10000,kHz,25,C
*CC(*)C,0.00038,10,KHz,30,C
*Cc1ccc(C*)cc1,0.00039,10,kHz,25,C
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,0.0004,0.4,kHz,100,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.0004,10,KHz,225,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.0004,10,KHz,250,C
*CC(CC(CC(*)n3c1ccccc1c2ccccc23)n6c4ccccc4c5ccccc56)n9c7ccccc7c8ccccc89,0.0004,1000,kHz,25,C
*CC(*)C,0.0004,10000,kHz,23,C
*CC(*)C,0.0004,0.001,KHz,30,C
*CC(*)C,0.0004,0.01,KHz,30,C
*CC(*)(C)C,0.0004,0.1,kHz,25,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.0004,10,KHz,150,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.0004,10,KHz,200,C
*C(F)(F)C(*)(F)F,0.0004,100,kHz,314,C
*N=P(*)(Cl)Cl,0.00040494,100,kHz,-123,C
*CC(*)c1ccc(Cl)cc1,0.00042,10,kHz,25,C
*CC(*)c1ccc(Cl)cc1,0.00042,100,kHz,25,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00042,100,KHz,-150,C
*CC(*)C,0.00043,0.1,KHz,30,C
*CC(*)C,0.00043,1,KHz,30,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00044,10,KHz,-150,C
*Sc1ccc(*)cc1,0.00045,0.001,KHz,30,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00045,1,KHz,200,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00045,10,KHz,200,C
*CC(*)C,0.00045,0.0001,KHz,30,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00046,1,KHz,-150,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00048,0.1,KHz,-150,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00048,100,KHz,-100,C
*Sc1ccc(*)cc1,0.0005,80,KHz,30,C
*CC(CC(CC(*)n3c1ccccc1c2ccccc23)n6c4ccccc4c5ccccc56)n9c7ccccc7c8ccccc89,0.0005,100,kHz,25,C
*CC(CC(CC(*)n3c1ccccc1c2ccccc23)n6c4ccccc4c5ccccc56)n9c7ccccc7c8ccccc89,0.0005,10000,kHz,25,C
*CC(*)C,0.0005,0.06,kHz,23,C
*c9cccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)c9,0.0005,100,kHz,-150,C
*c9cccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)c9,0.0005,100,kHz,-150,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.0005,0.01,KHz,-150,C
*Oc1ccc(*)cc1,0.000509554,1,kHz,125,C
*Oc1ccc(*)cc1,0.000511111,100,kHz,250,C
*Oc1ccc(*)cc1,0.000514541,100,kHz,275,C
