RepeatUnitSMILES,td_value
N#Cc1ccc(Oc2cccc(Oc3cncc(Oc4cccc(Oc5ccc(C#N)c(C#N)c5)c4)n3)c2)cc1C#N,471.5
N#Cc1ccc(Oc2cccc(Oc3ccc(C(=O)c4ccc(Oc5cccc(Oc6ccc(C#N)c(C#N)c6)c5)cc4)cc3)c2)cc1C#N,528
N#Cc1ccc(Oc2ccc(Oc3cccc(Oc4ccc(-c5ccc(Oc6cccc(Oc7ccc(-c8ccc(Oc9ccc(C#N)c(C#N)c9)cc8)cc7)c6C#N)cc5)cc4)c3C#N)cc2)cc1C#N,492
N#Cc1ccc(Oc2ccc([Si](c3ccccc3)(c3ccccc3)c3ccc(Oc4ccc(C#N)c(C#N)c4)cc3)cc2)cc1C#N,524
N#Cc1ccc(Oc2cc(CO)ccc2COCc2cc(CO)cc(Cc3cccc(CO)c3O)c2Oc2ccc(C#N)c(C#N)c2)cc1C#N,380
N#Cc1cc(Oc2ccc(NCC(O)COc3cccc(OCC4CO4)c3)cc2)ccc1C1=NC(COc2cccc(OCC3CO3)c2)CO1,506
COCc1cn(CCc2ccc3c(c2)CN(c2ccc(Cc4ccc(N5COc6ccc(CCn7cc(COc8ccc(C(C)(C)c9ccc(C)cc9)cc8)nn7)cc6C5)cc4)cc2)CO3)nn1,323
COc1ccc(Oc2cccc(Oc3ccc(C4(c5ccc(Oc6cccc(C)c6C#N)cc5)OC(=O)c5ccccc54)cc3)c2C#N)cc1,757.25
COc1ccc(Oc2cccc(Oc3ccc(C(c4ccc(Oc5cccc(C)c5C#N)cc4)c4ccccc4C(=O)O)cc3)c2C#N)cc1,670.5
COc1ccc(C2(c3ccc(Oc4c(F)c(F)c(-c5c(F)c(F)c(C)c(F)c5F)c(F)c4F)cc3)c3cc(-c4ccc5c(c4)CC5)ccc3-c3ccc(-c4ccc5c(c4)CC5)cc32)cc1,195
COc1ccc(C(C)(C)c2ccc(Oc3cccc(Oc4ccc(C(c5ccc(Oc6cccc(C)c6C#N)cc5)c5ccccc5C(=O)O)cc4)c3C#N)cc2)cc1,253
COc1ccc(C(C)(C)c2ccc(Oc3cccc(Oc4ccc(C(c5ccc(Oc6cccc(C)c6C#N)cc5)c5ccccc5C(=O)Nc5ccc(Oc6ccc(C#N)c(C#N)c6)cc5)cc4)c3C#N)cc2)cc1,434
COc1cc(CNCCC[Si](C)(C)O[Si](C)(C)CCCNCc2ccc(Oc3ccc(C#N)c(C#N)c3)c(OC)c2)ccc1Oc1ccc(C#N)c(C#N)c1,401
CNc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc(C(=O)Nc6ccc(C(c7ccc(NC)cc7)c7ccc(Oc8ccc(C#N)c(C#N)c8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,423.5
CNc1ccc(C(c2ccc(NC(=O)c3ccc(C(C)=O)cc3)cc2)c2ccc(Oc3ccc(C#N)c(C#N)c3)cc2)cc1,414.5
CCO[Si](CCCc1cc(Oc2c(F)c(F)c(Oc3ccc(OCc4ccc(Oc5c(F)c(F)c(Oc6ccc(CC)cc6)c(F)c5F)cc4)c(CCC[Si](OCC)(OCC)OCC)c3)c(F)c2F)ccc1OC)(OCC)OCC,280
CCO[Si](CCCc1cc(Oc2c(F)c(F)c(Oc3ccc(Oc4ccc(Oc5c(F)c(F)c(-c6c(F)c(F)c(C)c(F)c6F)c(F)c5F)c(CCC[Si](OCC)(OCC)OCC)c4)cc3)c(F)c2F)ccc1OC)(OCC)OCC,305
CCCCc1ccc(F)c(Cc2ccc(F)c(Cc3ccc(F)c(CCCC)c3Oc3ccc(C#N)c(C#N)c3)c2Oc2ccc(C#N)c(C#N)c2)c1O,452.4
CCCC[Si](C)(C)O[Si](C)(C)CCCN1COc2ccc(C(C)(C)c3ccc4c(c3)CN(C)CO4)cc2C1,370.5
CCc1cn(CCc2ccc3c(c2)CN(c2ccc(Cc4ccc(N5COc6ccc(CCn7cc(COc8ccc(N9COc%10ccc(C(C)(C)c%11ccc%12c(c%11)CN(c%11ccc(OC)cc%11)CO%12)cc%10C9)cc8)nn7)cc6C5)cc4)cc2)CO3)nn1,331
Cc1ccc(Oc2cc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(C)C7=O)cc5C4=O)cc3)cc(Oc3ccc(C#N)c(C#N)c3)c2)cc1,509
Cc1ccc(Oc2cc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C(c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7)(C(F)(F)F)C(F)(F)F)cc6)cc5C4=O)cc3)cc(Oc3ccc(C#N)c(C#N)c3)c2)cc1,520
Cc1ccc(Oc2cc(Oc3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(C)C7=O)cc5C4=O)cc3)cc(Oc3ccc(C#N)c(C#N)c3)c2)cc1,529
