RepeatUnitSMILES,PropertyValue,TestFreq,TestTemp,SMR_VSA6,RotRatio,NssCH2,ATSC3Z,AATS3dv,BIC2,SLogP,fMF,nS,BalabanJ,C3SP2,AATSC1Z,nHBDon,NaaCH,MATS1Z,TMPC10,Xc-5d
*CC(*)CC(C)C,-5.301029996,0.0,200,0.0,0.4285714285714285,2,-43.2,0.2666666666666666,0.764240758439705,2.3379000000000003,0.0,0,3.0988280941131414,0,-0.6821052631578945,0,0,-0.1209406494960806,36,0.0
*Oc4ccc(C(C)(CCC(=O)OCCS(C)(=O)=O)c3ccc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)cc3)cc4,-1.899629455,-2.0,-50,18.61550475477111,0.2826086956521739,4,-254.33664852692817,4.022857142857143,0.724114120124021,5.4016000000000055,0.3698630136986301,1,1.2383978962169295,4,1.4049441486997647,0,16,0.1488281192784369,1233,0.6810920318262313
*CC(CO*)(CS(C)(=O)=O)CS(C)(=O)=O,-1.899629455,-2.0,100,30.624127545029303,0.4666666666666667,4,-264.79999999999995,1.9733333333333327,0.6984449163630588,-0.4894999999999998,0.0,2,4.848299174125325,0,5.946973180076629,0,0,0.3232831518524381,136,0.0
*CC(*)C(=O)OCCS(C)(=O)=O,-1.899629455,-2.0,-150,18.61550475477111,0.4166666666666667,3,-128.86200378071834,1.702127659574468,0.8546779804713399,-0.1204,0.0,1,3.533180257346207,0,4.434438907028698,0,0,0.2882548761143011,91,0.1666666666666666
*c6ccc(C(c5ccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)cc5)(C(F)(F)F)C(F)(F)F)cc6,-2.036212173,2.0,200,4.899909730850478,0.0847457627118644,0,128.3529411764706,12.51764705882353,0.6032134227574792,7.543500000000005,0.4705882352941176,0,1.231893637310166,8,-0.0339858747689245,0,14,-0.0043691805196704,2894,4.041180337435779
*N=P(*)(OCC(F)(F)F)OCC(F)(F)F,-2.032735952,0.0,-173,13.213763929025836,0.2666666666666666,2,-312.0,9.104377104377106,0.6586040494376154,3.104,0.0,0,4.212191289533752,0,-0.7894736842105263,0,0,-0.0499666888740839,136,0.0
*C(C)COCC(C)COCC(C)n3c(=O)c2cc1c(=O)n(*)c(=O)c1cc2c3=O,-2.032452024,1.0,25,26.427527858051672,0.28125,4,88.73372781065089,5.346774193548387,0.713017908017425,0.8127999999999995,0.2307692307692307,0,1.503506802221932,4,0.3563445101906642,0,2,0.0437343661744533,1196,0.8544704938124432
*Nc6ccc(Oc5ccc(C(=O)c4ccc(Oc3ccc(NC(=O)c1ccc(C(*)=O)c2ccccc12)cc3)cc4)cc5)cc6,-1.747146969,3.0,25,11.050456081168516,0.196078431372549,0,-86.24489795918366,6.246835443037975,0.6032586169995665,8.473400000000003,0.5571428571428572,0,0.8527971424459785,6,0.1654421768707486,2,22,0.023717573629803,1554,0.591424564749434
*NC(=O)Nc1ccc(C)c(NC(=O)NNCC(C)N*)c1,-1.747146969,-1.22184875,50,17.178333613925236,0.2727272727272727,1,-133.05,3.7058823529411766,0.8677055719880534,0.6493199999999996,0.15,0,2.31455540639051,1,-0.3350000000000006,6,3,-0.0413070283600494,346,0.1178511301977579
*c6ccc(S(=O)(=O)c5ccc(n4c(=O)c3ccc(Oc2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)cc5)cc6,-1.747146969,3.0,0,4.899909730850478,0.1111111111111111,0,-111.01234567901233,8.412698412698413,0.6544229314394827,3.3472000000000017,0.5925925925925926,1,1.0179090546146117,4,1.3001790239706128,0,14,0.1421461470417781,1851,1.4534670971643069
